Sprint,TaskDetail,Status,Process,Who,DateBegin,Deadline,Priority,Note
Setup,Phân tích yêu cầu CNPM 2,Not Started,0%,Bạn,3/3/2026,5/3/2026,High,Xác định scope dự án cá nhân
Setup,Review toàn bộ code CNPM 1,Not Started,0%,Bạn,3/3/2026,7/3/2026,High,Code review - liệt kê bugs
Setup,Lập danh sách bugs và issues,Not Started,0%,Bạn,6/3/2026,8/3/2026,High,Priority: Critical → Low
Setup,Thiết kế kiến trúc cho features mới,Not Started,0%,Bạn,9/3/2026,14/3/2026,High,Database schema và wireframes
Setup,Lập kế hoạch chi tiết các Sprint,Not Started,0%,Bạn,13/3/2026,16/3/2026,High,Realistic timeline cho 1 người
Testing CNPM1,Test toàn bộ authentication flow,Not Started,0%,Bạn,17/3/2026,18/3/2026,High,Login - register - forgot password
Testing CNPM1,Test CRUD subjects,Not Started,0%,Bạn,17/3/2026,18/3/2026,High,Add - edit - delete - view
Testing CNPM1,Test CRUD schedules,Not Started,0%,Bạn,18/3/2026,19/3/2026,High,Conflicts - notifications
Testing CNPM1,Test CRUD exams,Not Started,0%,Bạn,19/3/2026,20/3/2026,High,Date validation - reminders
Testing CNPM1,Test notifications system,Not Started,0%,Bạn,20/3/2026,21/3/2026,High,Local notifications - permissions
Testing CNPM1,Fix critical bugs,Not Started,0%,Bạn,21/3/2026,22/3/2026,High,Ưu tiên bugs HIGH priority
Testing CNPM1,Test trên nhiều devices,Not Started,0%,Bạn,22/3/2026,23/3/2026,High,Android/iOS - screen sizes
Testing CNPM1,Document bugs đã fix,Not Started,0%,Bạn,23/3/2026,23/3/2026,Medium,Changelog - notes
Sprint 1,Research UI/UX best practices,Not Started,0%,Bạn,24/3/2026,25/3/2026,Medium,Material Design 3 - inspiration
Sprint 1,Sketch wireframes cho UI mới,Not Started,0%,Bạn,25/3/2026,27/3/2026,Medium,Paper/Figma sketches
Sprint 1,Implement Dark Mode,Not Started,0%,Bạn,28/3/2026,1/4/2026,High,ThemeProvider và save preference
Sprint 1,Cải thiện Home Dashboard,Not Started,0%,Bạn,1/4/2026,3/4/2026,High,Better layout và quick actions
Sprint 1,Redesign Schedule Page (Calendar View),Not Started,0%,Bạn,3/4/2026,5/4/2026,High,Week/Month view với table_calendar
Sprint 1,Thêm animations,Not Started,0%,Bạn,5/4/2026,6/4/2026,Medium,Smooth transitions
Sprint 2,Thiết kế Grades module,Not Started,0%,Bạn,7/4/2026,8/4/2026,High,Database schema và entities
Sprint 2,Implement Firestore grades collection,Not Started,0%,Bạn,8/4/2026,10/4/2026,High,CRUD operations
Sprint 2,UI nhập và xem điểm,Not Started,0%,Bạn,10/4/2026,12/4/2026,High,Forms và lists
Sprint 2,Tính GPA tự động,Not Started,0%,Bạn,12/4/2026,13/4/2026,High,Logic + display
Sprint 2,Thiết kế Tasks module,Not Started,0%,Bạn,14/4/2026,15/4/2026,High,Database schema
Sprint 2,Implement Firestore tasks collection,Not Started,0%,Bạn,15/4/2026,17/4/2026,High,CRUD với priority - status
Sprint 2,UI To-Do List Page,Not Started,0%,Bạn,17/4/2026,19/4/2026,High,Checkbox - filter - sort
Sprint 2,Tích hợp reminder,Not Started,0%,Bạn,19/4/2026,20/4/2026,High,Notifications
Sprint 3,Thiết kế Notes module,Not Started,0%,Bạn,21/4/2026,22/4/2026,Medium,Rich text notes
Sprint 3,Implement CRUD Notes,Not Started,0%,Bạn,22/4/2026,24/4/2026,Medium,Link to subjects
Sprint 3,UI Notes Editor,Not Started,0%,Bạn,24/4/2026,27/4/2026,Medium,Text formatting - attachments
Sprint 3,Search và filter notes,Not Started,0%,Bạn,27/4/2026,28/4/2026,Low,Full-text search
Sprint 3,Export schedule to PDF,Not Started,0%,Bạn,29/4/2026,1/5/2026,Medium,pdf package
Sprint 3,Export to iCal format,Not Started,0%,Bạn,1/5/2026,2/5/2026,Low,Import vào calendar khác
Sprint 3,Share schedule via link,Not Started,0%,Bạn,2/5/2026,4/5/2026,Low,Share_plus package
Sprint 4,Implement Firebase Security Rules,Not Started,0%,Bạn,5/5/2026,7/5/2026,High,User-specific data access
Sprint 4,Validate input data,Not Started,0%,Bạn,7/5/2026,9/5/2026,High,Prevent injection
Sprint 4,Secure local storage,Not Started,0%,Bạn,9/5/2026,11/5/2026,High,Encrypt sensitive data
Sprint 4,Security audit,Not Started,0%,Bạn,11/5/2026,12/5/2026,Medium,Check vulnerabilities
Sprint 4,Optimize Firestore queries,Not Started,0%,Bạn,12/5/2026,14/5/2026,High,Pagination và indexing
Sprint 4,Implement caching,Not Started,0%,Bạn,14/5/2026,16/5/2026,High,Reduce API calls
Sprint 4,Optimize images và assets,Not Started,0%,Bạn,16/5/2026,17/5/2026,Medium,Compress - lazy load
Sprint 4,Performance profiling,Not Started,0%,Bạn,17/5/2026,18/5/2026,Medium,Fix bottlenecks
Sprint 5,Polish UI cho tất cả pages,Not Started,0%,Bạn,19/5/2026,22/5/2026,High,Consistency - spacing - colors
Sprint 5,Improve error handling UI,Not Started,0%,Bạn,22/5/2026,24/5/2026,High,User-friendly messages
Sprint 5,Add loading states,Not Started,0%,Bạn,24/5/2026,25/5/2026,Medium,Shimmer - spinners
Sprint 5,Improve empty states,Not Started,0%,Bạn,25/5/2026,26/5/2026,Medium,Helpful placeholders
Sprint 5,Widget Android (optional),Not Started,0%,Bạn,27/5/2026,29/5/2026,Low,Today's schedule
Sprint 5,Backup & Restore,Not Started,0%,Bạn,29/5/2026,31/5/2026,Medium,Export/import all data
Sprint 5,Thêm đa ngôn ngữ (optional),Not Started,0%,Bạn,31/5/2026,1/6/2026,Low,Tiếng Việt + English
Testing,Test tất cả features mới,Not Started,0%,Bạn,2/6/2026,4/6/2026,High,End-to-end testing
Testing,Test trên nhiều devices,Not Started,0%,Bạn,4/6/2026,5/6/2026,High,Different screen sizes
Testing,Performance testing,Not Started,0%,Bạn,5/6/2026,6/6/2026,High,Check app speed - memory
Testing,Fix bugs tìm được,Not Started,0%,Bạn,6/6/2026,8/6/2026,High,Priority: Critical first
Deployment,Viết tài liệu kỹ thuật,Not Started,0%,Bạn,9/6/2026,11/6/2026,High,Architecture và features
Deployment,Viết User Manual,Not Started,0%,Bạn,9/6/2026,11/6/2026,High,Hướng dẫn sử dụng
Deployment,Chuẩn bị báo cáo đồ án,Not Started,0%,Bạn,10/6/2026,13/6/2026,High,Report CNPM 2
Deployment,Build production APK,Not Started,0%,Bạn,12/6/2026,13/6/2026,High,Release build
Deployment,Test production build,Not Started,0%,Bạn,13/6/2026,14/6/2026,High,Final check
Deployment,Presentation slides & Demo video,Not Started,0%,Bạn,11/6/2026,14/6/2026,High,Final presentation
Deployment,Final Review & Submission,Not Started,0%,Bạn,15/6/2026,15/6/2026,High,Nộp đồ án
